,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2005-09-14,135700497.91140756,104528283.35708906,101331342.9193339,139418975.40032822,134717520.13071406,155666762.85173288,148278533.8966105,154159513.00663513,163283742.05744815,4473102.962769923
2005-09-15,135469343.52094132,104297128.96662281,101097094.10236081,138775596.03550872,134248449.97025603,154724945.15229586,147656979.15302143,152778358.98811913,162351409.94206458,4339574.544005659
2005-09-16,135608658.69610265,104442498.38771832,101244404.31669867,139145277.91875607,134518396.34306282,155265440.6392634,148014616.05396488,153569971.50197327,162887865.29347977,4383187.210439813
2005-09-19,135341725.00076357,103914799.73364322,100709667.13970841,137673851.27036148,133443917.75675106,153114165.69223228,146591099.088788,150419261.3707212,160752589.84571445,4194397.120890937
2005-09-20,134946339.55573198,103398097.84337199,100186243.7749077,136688199.89925945,132723676.36092506,151673784.74070695,145636897.28858605,148316047.178514,159324634.51308984,4111275.673100194
2005-09-21,133828482.58522734,101775405.34612332,98544195.07455398,133982922.84911278,130746205.73914348,147721883.38252825,143017448.78089505,142768444.8870104,155548805.9304591,3940930.788437946
2005-09-22,133282963.95777085,101066317.86154684,97827868.44106357,132879350.83806044,129939368.39530909,146088317.6447001,141934216.9887463,140783855.54196626,154195821.38442194,3885738.3215365997
2005-09-23,134485567.17644218,102554681.29407164,99327037.8038335,134774436.68424278,131324892.8696149,149386242.31213716,144123045.81976524,144191849.89177865,156519205.66530225,3980914.5169933927
2005-09-26,134716519.3254412,102905008.16875839,99680972.82956794,135356216.5923291,131750240.51438612,150378484.04598343,144781527.6586389,145238083.57221413,157232470.60583395,4013645.1097834287
2005-09-27,133921918.6430856,101850961.03162351,98614893.5581132,133160399.42573674,130144837.5865217,147239097.25392318,142700189.86525467,141292315.1111669,154542457.95091367,3879100.436733383
2005-09-28,133834254.90921962,101739091.25613755,98502115.60862792,132994533.57806109,130023550.94871908,147000955.70631304,142542261.19188294,141000372.02343002,154343420.06930816,3871014.0103735668
2005-09-29,135950338.95831695,104413497.04750043,101194428.56207907,136698397.24749938,132731931.74110742,152318359.23363507,146068592.3129073,147522109.2632553,158789738.50609124,4052845.7916597184
2005-09-30,136367015.97763646,105985570.18374611,102785307.8209197,139259695.3360914,134604475.19837692,155977415.92832893,148494292.49001926,152154304.609366,161947481.6046383,4236113.790523258
2005-10-03,136367015.97763646,105985570.18374611,102785307.8209197,140066934.60139608,135194240.5034655,157131888.62996405,149258750.67919937,153943532.48285735,163161119.97593346,4356208.123948136
2005-10-04,136359523.4707681,105978077.67687772,102777606.62587091,139379738.83925074,134692548.28399372,156147658.22595158,148607828.44492045,152418752.1333093,162128773.8075019,4181431.3467616043
2005-10-05,135978807.02514145,105597361.23125109,102386286.69612361,137734959.4154017,133490425.20535627,153770306.32894182,147032472.81709117,148840541.13020763,159699046.9205082,3973141.87810428
2005-10-06,135369685.2529654,104988239.45907505,101760252.67818856,135777278.45585,132059064.53794427,150931847.89208898,145150315.01055545,144614010.6864774,156826028.69764075,3810909.015758672
2005-10-07,135802521.770465,105421075.97657463,102204664.94017088,136814498.7986629,132817572.61520372,152437839.33505297,146149251.37952688,146791587.876195,158308693.70239317,3874799.3679884262
2005-10-10,134384129.17994976,104002683.38605939,100746850.76911975,131634132.30336711,129029220.16876563,144916115.5025023,141160016.78642866,135924419.72814533,150909339.8747071,3523469.2646120447
2005-10-11,132754066.56907511,102372620.77518475,99073930.29929882,128022755.2362588,126387924.62865716,139667522.32041988,137677821.92481798,128838765.90101588,146077684.81012526,3336027.2287892704
