Date,baseline,v5
2006-06-02,140910501.31792566,113626367.33624955
2006-06-05,137881782.95083842,109940012.50763987
2006-06-06,137190450.96171257,109093339.22203374
2006-06-07,133619482.9850717,104827463.9273895
2006-06-08,132425047.38460153,103468272.95302796
2006-06-09,131235173.29089937,102168482.69501515
2006-06-12,124960557.19906534,102168482.69501515
2006-06-13,124344214.34733613,102168482.69501515
2006-06-14,128006066.08223595,102168482.69501515
2006-06-15,135361207.18945682,102168482.69501515
2006-06-16,133986469.89923435,102168482.69501515
2006-06-19,132308656.64361408,102168482.69501515
2006-06-20,131425831.83125007,102168482.69501515
2006-06-21,135030250.29098782,102168482.69501515
2006-06-22,133673453.83004636,102168482.69501515
2006-06-23,132933851.95204224,102168482.69501515
2006-06-26,133643409.58919209,102168482.69501515
2006-06-27,131236904.71008685,102168482.69501515
2006-06-28,130957231.02786332,102168482.69501515
2006-06-29,136741376.04484743,102168482.69501515
2006-06-30,136703208.2242613,102168482.69501515
2006-07-03,137597132.62581402,102168482.69501515
2006-07-05,136874016.55581248,102168482.69501515
2006-07-06,136819620.0753584,102168482.69501515
2006-07-07,135595303.32245472,102168482.69501515
2006-07-10,132796668.00794116,102168482.69501515
2006-07-11,136518827.94871032,102168482.69501515
2006-07-12,134401362.12085834,102168482.69501515
2006-07-13,133067946.60148539,102168482.69501515
2006-07-14,132461464.26489724,102168482.69501515
2006-07-17,132479048.7191743,102168482.69501515
2006-07-18,132117796.82432553,102168482.69501515
2006-07-19,135713787.5012977,102168482.69501515
2006-07-20,134374940.61704803,102168482.69501515
2006-07-21,130760007.40073109,102168482.69501515
2006-07-24,134071537.29387838,102168482.69501515
2006-07-25,134908326.51217344,102168482.69501515
2006-07-26,135038232.7522055,102168482.69501515
2006-07-27,135180473.71423936,102168482.69501515
2006-07-28,135985699.14913988,102168482.69501515
2006-07-31,136015510.8652169,102168482.69501515
2006-08-01,136008018.3581332,102168482.69501515
2006-08-02,136248540.51996696,102168482.69501515
2006-08-03,136248540.51996696,102168482.69501515
2006-08-04,136241048.01430148,102168482.69501515
2006-08-07,136111715.60102096,102168482.69501515
2006-08-08,135853128.77968025,102168482.69501515
2006-08-09,136133323.76920384,102168482.69501515
2006-08-10,136579865.1901888,102168482.69501515
2006-08-11,136572372.68314764,102168482.69501515
2006-08-14,136871223.15236485,102168482.69501515
2006-08-15,136871223.15236485,102168482.69501515
2006-08-16,136871223.15236485,102168482.69501515
2006-08-17,136871223.15236485,102168482.69501515
2006-08-18,136871223.15236485,102168482.69501515
2006-08-21,136863730.6451329,102168482.69501515
2006-08-22,136817536.56949556,102168482.69501515
2006-08-23,136508394.220618,102168482.69501515
2006-08-24,136947564.36576268,102168482.69501515
2006-08-25,136963731.37120807,102168482.69501515
2006-08-28,137364929.2048743,102168482.69501515
2006-08-29,137364929.2048743,102168482.69501515
2006-08-30,137364929.2048743,102168482.69501515
2006-08-31,137357436.69842035,102168482.69501515
2006-09-01,137145425.4761697,102168482.69501515
2006-09-05,137663104.1748858,102168482.69501515
2006-09-06,137655611.66764027,102168482.69501515
2006-09-07,137571510.00330645,102168482.69501515
2006-09-08,137992113.7415315,102168482.69501515
2006-09-11,137992113.7415315,102168482.69501515
2006-09-12,137992113.7415315,102168482.69501515
2006-09-13,137984621.2381686,102168482.69501515
2006-09-14,138049767.25733086,102168482.69501515
2006-09-15,138042274.7512933,102168482.69501515
2006-09-18,138313842.70688727,102168482.69501515
2006-09-19,138306350.19943833,102168482.69501515
2006-09-20,138480835.52933475,102168482.69501515
2006-09-21,138473343.02204373,102168482.69501515
2006-09-22,138200536.49573365,102168482.69501515
2006-09-25,139261617.7702112,102168482.69501515
2006-09-26,139254125.2650074,102168482.69501515
2006-09-27,139173721.80754012,102168482.69501515
2006-09-28,139638743.4375654,102168482.69501515
2006-09-29,139631250.93143833,102168482.69501515
2006-10-02,139411710.32372552,102168482.69501515
2006-10-03,139134945.84082204,102168482.69501515
2006-10-04,140550554.56971788,102168482.69501515
2006-10-05,140543062.06357956,102168482.69501515
2006-10-06,140360732.64343154,102168482.69501515
