date,basket_soxl,gld,tlt,portfolio
2016-02-03,238177.51866733763,49311.6121564926,44955.8706150688,259197.12823321542
2016-02-04,238317.22106056145,49907.41378620949,45173.71478451392,260198.81185909815
2016-02-05,238045.63692146537,50697.302310455365,45226.40133751919,260955.32371266294
2016-02-08,237626.78375655462,51378.86416839155,46199.65778406845,262593.256369894
2016-02-09,237468.21592090817,51266.02295064214,46248.85052628752,262426.9244134927
2016-02-10,237225.31680321263,51663.22268302545,46656.420744160794,263192.53369524033
2016-02-11,236902.22858957158,53739.500638249745,46983.18534092298,265653.66333870264
2016-02-12,238021.44655226966,53423.546582646006,46203.176692709305,265092.557539267
2016-02-16,239372.02202551265,51803.14489030498,45714.801800813795,263593.86515868275
2016-02-17,239613.6329718486,52123.61665690254,45433.68878104173,263765.2959501382
2016-02-18,239591.47143096878,53391.95104167618,45992.34145433583,265806.9913622265
2016-02-19,239656.48423915968,53071.482434632715,46031.0063568424,265542.6578109094
2016-02-22,239860.6684830774,52128.12804878816,46006.42798042111,264608.2234496163
2016-02-23,239717.68640029835,52908.99062970869,46192.641749830385,265595.4075893872
2016-02-24,239977.03416933355,53085.022929397775,46101.30876255122,265845.1721736314
2016-02-25,240196.54812616328,53224.94468531243,46266.412868470754,266334.713306841
2016-02-26,240197.84442499443,52859.340493898955,45820.20331948999,265404.0201162162
2016-02-29,240199.1407308215,53549.92784379561,46020.47094041906,266400.70511570974
2016-03-01,240200.4370436445,53157.23950329792,45210.10335895743,265007.49956388556
2016-03-02,240201.73336346346,53567.982890000385,45396.682231120314,265680.81625510077
2016-03-03,240203.02969027843,54493.282229640165,45562.1296567498,266893.6905845664
2016-03-04,240204.32602408945,54407.522001420875,45269.94706244016,266453.1532628193
2016-03-07,240205.62236489655,54678.34002128972,45255.86763952129,266734.4403648081
2016-03-08,240178.81635021017,54425.577047625644,45755.749661005415,267034.08515376353
2016-03-09,240849.25967498324,53974.212176628,45477.66116949188,266635.1492677197
2016-03-10,240963.8850771528,54840.83182621374,45291.09650366181,267437.43318573025
2016-03-11,241421.20778350005,53897.481051288145,44833.46695726711,266149.5153014614
2016-03-14,241412.6037634565,53202.3786985869,44974.25266265606,265548.55365109345
2016-03-15,241357.98240667276,53242.99973151721,45016.519344078304,265608.58472294005
2016-03-16,241629.612684236,54430.0879881464,45150.26723218553,267243.2002881861
2016-03-17,241819.211653146,54222.460598852354,45336.82810966018,267357.79535509006
2016-03-18,241820.51670920887,54073.51289961236,45431.88220905076,267308.1404947651
